No;Time_Offset;Type;ID;Data_Length;One;Two;Three;Four;Five;Six;Seven;Eight
1);0.000;0;0370;8;FF;20;00;80;FF;00;00;28
2);0.241;0;0440;8;FF;A0;00;00;FF;B0;09;00
3);0.479;0;0153;8;00;80;10;FF;00;FF;60;EE
4);0.714;0;0220;8;F0;03;0B;04;C5;21;01;10
5);5.348;0;04B1;8;27;64;62;9E;00;00;00;8B
6);5.596;0;0164;8;00;08;01;00;00;00;01;08
7);6.209;0;02B0;5;2C;00;00;07;90;-1;-1;-1
8);6.445;0;0165;8;B2;C7;80;00;00;00;00;F5
9);6.715;0;04F2;8;80;00;70;30;00;00;00;84
10);6.945;0;02A0;8;A2;00;87;9D;C0;2E;36;0C
11);7.179;0;0260;8;05;1A;00;30;00;8D;59;19
12);7.416;0;0080;8;00;17;D0;09;1A;17;1A;7D
13);7.656;0;0081;8;80;84;87;00;00;00;00;0D
14);7.898;0;018F;8;00;34;1A;00;00;3F;00;10
15);8.128;0;0316;8;05;1A;D0;09;1A;17;00;7F
16);8.364;0;0329;8;40;AF;80;8C;12;29;00;10
17);8.611;0;0382;8;40;FE;0F;00;00;00;00;04
18);8.847;0;0545;8;D8;0F;00;89;15;00;15;00
19);9.729;0;043F;8;00;40;60;FF;7D;B0;09;00
20);9.969;0;0370;8;FF;20;00;80;FF;00;00;EC
21);10.215;0;0440;8;FF;F0;00;00;FF;B4;09;00
22);10.455;0;0153;8;00;80;10;FF;00;FF;70;FE
23);10.703;0;01F1;8;00;BD;00;00;00;00;00;00
24);10.937;0;0220;8;F2;0B;09;04;C5;21;01;10
25);11.183;0;059B;8;00;00;00;00;00;00;00;4C
26);12.352;0;02C0;8;3D;00;00;00;00;00;00;00
27);13.034;0;0350;8;05;28;F4;54;68;00;00;E5
28);15.388;0;04B0;8;00;00;00;80;00;40;00;80
29);15.638;0;0164;8;00;08;01;00;00;00;02;0B
30);16.145;0;05E4;3;00;00;00;-1;-1;-1;-1;-1
31);16.383;0;0165;8;B2;C7;80;00;00;00;01;F4
32);16.569;0;02B0;5;2B;00;00;07;F1;-1;-1;-1
33);16.799;0;02A0;8;C2;00;87;9D;C0;2E;36;0C
34);17.033;0;0080;8;00;17;BE;09;1A;17;1A;AE
35);17.273;0;0081;8;80;84;87;00;00;00;00;FE
36);17.516;0;018F;8;00;34;1A;00;00;3F;00;10
37);17.750;0;0260;8;05;1A;00;30;00;8D;59;28
38);17.982;0;0316;8;05;1A;BE;09;1A;17;00;7F
39);18.218;0;0329;8;40;AF;80;8C;12;29;00;10
40);18.460;0;04F0;8;00;00;0E;00;00;0A;21;0F
41);18.694;0;0545;8;D8;0F;00;8A;15;00;15;00
42);18.939;0;04F1;8;C0;18;00;00;00;00;00;00
43);19.205;0;051A;8;00;03;00;00;00;00;00;00
44);19.469;0;0690;8;03;00;00;20;A0;00;21;00
45);19.787;0;043F;8;00;40;60;FF;7D;A8;09;00
46);20.029;0;0370;8;FF;20;00;80;FF;00;00;A0
47);20.269;0;0440;8;FF;00;00;00;FF;A4;09;00
48);20.512;0;0153;8;00;80;10;FF;00;FF;80;0E
49);20.744;0;0220;8;F3;13;00;14;C5;21;01;10
50);25.347;0;04B1;8;27;64;62;9E;00;00;00;8B
51);25.596;0;0164;8;00;08;01;00;00;00;03;0A
52);26.210;0;02B0;5;2D;00;00;07;A2;-1;-1;-1
53);26.446;0;0165;8;B3;B7;80;00;00;00;02;86
54);26.678;0;0316;8;05;1A;BE;09;1A;17;00;7F
55);26.912;0;0329;8;84;AF;80;8C;12;29;00;10
56);27.155;0;018F;8;00;34;1A;00;00;3F;00;10
57);27.393;0;0080;8;00;17;BE;09;1A;17;1A;9F
58);27.633;0;0081;8;80;84;87;00;00;00;00;EF
59);27.867;0;0260;8;05;1A;00;30;00;8D;59;37
60);28.099;0;02A0;8;62;00;87;9D;C0;2E;36;0C
61);28.345;0;0382;8;40;FE;0F;00;00;00;00;08
62);28.588;0;04F2;8;80;00;70;30;00;00;00;85
63);28.822;0;0545;8;D8;0F;00;8A;15;00;15;00
64);29.752;0;043F;8;00;40;60;FF;7D;A0;09;00
65);29.992;0;0370;8;FF;20;00;80;FF;00;00;64
66);30.236;0;0440;8;FF;50;00;00;FF;9C;09;00
67);30.474;0;0153;8;00;80;10;FF;00;FF;90;1E
68);30.722;0;01F1;8;00;BD;00;00;00;00;00;00
69);30.952;0;0220;8;F2;1B;FB;33;C8;31;01;10
70);33.008;0;0110;8;D0;3C;40;09;00;00;00;00
71);33.245;0;0350;8;05;28;04;54;68;00;00;15
72);35.383;0;04B0;8;00;40;00;80;00;40;00;80
73);35.629;0;0164;8;00;08;01;00;00;00;04;0D
74);36.223;0;02B0;5;2C;00;00;07;A3;-1;-1;-1
75);36.459;0;0165;8;B5;97;80;00;00;00;03;A1
